machine_name,endpoint_url,opc_path,node_id,display_name,browse_name,data_type,parent_branch,sample_value,discovered_at
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALARMSYSTEM/state/StopName,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.StopName,StopName,StopName,String,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALARMSYSTEM/state/StopMessage,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.StopMessage,StopMessage,StopMessage,String,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALARMSYSTEM/state/LanguageCode,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.LanguageCode,LanguageCode,LanguageCode,String,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALARMSYSTEM/state/Alarmitems,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.Alarmitems,Alarmitems,Alarmitems,UInt32,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALARMSYSTEM/state/MaxSeverity,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.MaxSeverity,MaxSeverity,MaxSeverity,UInt16,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_ALLGEMEIN/state/state,ns=6;s=::AsGlobalPV:HMI_ALLGEMEIN.state.state,state,state,UInt32,state,,2026-06-10T16:58:12
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_1_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_1_Abstand,Bereich_1_Abstand,Bereich_1_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_1_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_1_Fenster,Bereich_1_Fenster,Bereich_1_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_2_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_2_Abstand,Bereich_2_Abstand,Bereich_2_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_2_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_2_Fenster,Bereich_2_Fenster,Bereich_2_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_3_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_3_Abstand,Bereich_3_Abstand,Bereich_3_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Bereich_3_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_3_Fenster,Bereich_3_Fenster,Bereich_3_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Stillstandszeit,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstandszeit,Stillstandszeit,Stillstandszeit,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Stillstand_1_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstand_1_Abstand,Stillstand_1_Abstand,Stillstand_1_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Stillstand_1_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstand_1_Fenster,Stillstand_1_Fenster,Stillstand_1_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Kleb_Sensor_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Sensor_Abstand,Kleb_Sensor_Abstand,Kleb_Sensor_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Kleb_Sensor_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Sensor_Fenster,Kleb_Sensor_Fenster,Kleb_Sensor_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Metallerkennung_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metallerkennung_Abstand,Metallerkennung_Abstand,Metallerkennung_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Metallerkennung_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metallerkennung_Fenster,Metallerkennung_Fenster,Metallerkennung_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Kleb_Handtaster_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Handtaster_Abstand,Kleb_Handtaster_Abstand,Kleb_Handtaster_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Kleb_Handtaster_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Handtaster_Fenster,Kleb_Handtaster_Fenster,Kleb_Handtaster_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/TubeScan_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.TubeScan_Abstand,TubeScan_Abstand,TubeScan_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/TubeScan_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.TubeScan_Fenster,TubeScan_Fenster,TubeScan_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Laser_Abstand,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Laser_Abstand,Laser_Abstand,Laser_Abstand,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/para/Laser_Fenster,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Laser_Fenster,Laser_Fenster,Laser_Fenster,Float,para,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_AUSSCHUSS/state/state,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.state.state,state,state,UInt32,state,,2026-06-10T16:58:13
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_GEBLAESE_UEBERGABE/para/Geschwindigkeit_Vakuum,ns=6;s=::AsGlobalPV:HMI_GEBLAESE_UEBERGABE.para.Geschwindigkeit_Vakuum,Geschwindigkeit_Vakuum,Geschwindigkeit_Vakuum,Float,para,,2026-06-10T16:58:14
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_GEBLAESE_UEBERGABE/para/Offset_Vakuum,ns=6;s=::AsGlobalPV:HMI_GEBLAESE_UEBERGABE.para.Offset_Vakuum,Offset_Vakuum,Offset_Vakuum,Float,para,,2026-06-10T16:58:14
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_GEBLAESE_UEBERGABE/para/Offset_Saugband,ns=6;s=::AsGlobalPV:HMI_GEBLAESE_UEBERGABE.para.Offset_Saugband,Offset_Saugband,Offset_Saugband,Float,para,,2026-06-10T16:58:14
Pinch 16,opc.tcp://192.168.10.194:4840,Global PV/HMI_GEBLAESE_UEBERGABE/state/state,ns=6;s=::AsGlobalPV:HMI_GEBLAESE_UEBERGABE.state.state,state,state,UInt32,state,,2026-06-10T16:58:14
