machine_name,endpoint_url,opc_path,node_id,display_name,browse_name,data_type,parent_branch,sample_value,discovered_at
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/rotational direction,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.OpSelDrehrichtung,rotational direction,OpSelDrehrichtung,String,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/position splice,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Pos_Klebestelle,position splice,Pos_Klebestelle,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/diameter - next reel,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Start_Durchmesser,diameter - next reel,Start_Durchmesser,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/minimum diameter,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Minimaler_Durchmesser,minimum diameter,Minimaler_Durchmesser,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/mode - minimum diameter,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.OpSelMinDurchmesser,mode - minimum diameter,OpSelMinDurchmesser,String,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/print mark/mode,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Druckmarke.OpSelMode,mode,OpSelMode,String,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/print mark/remaining path,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Druckmarke.Restweg,remaining path,Restweg,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/transv. adjustment/offset - winder - 1 - a-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Spannvorrichtung.Spann1AOffset,offset - winder - 1 - a-side,Spann1AOffset,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/transv. adjustment/offset - winder - 1 - b-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Spannvorrichtung.Spann1BOffset,offset - winder - 1 - b-side,Spann1BOffset,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/transv. adjustment/offset - winder - 2 - a-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Spannvorrichtung.Spann2AOffset,offset - winder - 2 - a-side,Spann2AOffset,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/para/transv. adjustment/offset - winder - 2 - b-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.para.Spannvorrichtung.Spann2BOffset,offset - winder - 2 - b-side,Spann2BOffset,Float,para,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/state,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.state,state,state,UInt32,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/current diameter,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.Durchmesser,current diameter,Durchmesser,Float,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/transv. adjustment/position - winder - 1 - a-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.Spannvorrichtung.Spann1A,position - winder - 1 - a-side,Spann1A,Float,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/transv. adjustment/position - winder - 1 - b-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.Spannvorrichtung.Spann1B,position - winder - 1 - b-side,Spann1B,Float,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/transv. adjustment/position - winder - 2 - a-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.Spannvorrichtung.Spann2A,position - winder - 2 - a-side,Spann2A,Float,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/020 - unwinder/state/transv. adjustment/position - winder - 2 - b-side,ns=6;s=::AsGlobalPV:HMI_ABWICKLER.state.Spannvorrichtung.Spann2B,position - winder - 2 - b-side,Spann2B,Float,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/alarm system/state/stop reason name,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.StopName,stop reason name,StopName,String,state,,2026-06-11T10:00:54
Pinch 20,opc.tcp://192.168.11.26:4840,Global PV/alarm system/state/number of active alarms,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.Alarmitems,number of active alarms,Alarmitems,UInt32,state,,2026-06-11T10:00:54
