machine_name,endpoint_url,opc_path,node_id,display_name,browse_name,data_type,parent_branch,sample_value,discovered_at
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/218 - vaccum collection system/para/suction power,ns=6;s=::AsGlobalPV:HMI_ABSAUGUNG.para.Geschwindigkeit_Vakuum,suction power,Geschwindigkeit_Vakuum,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/218 - vaccum collection system/state/state,ns=6;s=::AsGlobalPV:HMI_ABSAUGUNG.state.state,state,state,UInt32,state,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/alarm system/state/stop reason name,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.StopName,stop reason name,StopName,String,state,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/alarm system/state/number of active alarms,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.Alarmitems,number of active alarms,Alarmitems,UInt32,state,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/alarm system/state/max severity,ns=6;s=::AsGlobalPV:HMI_ALARMSYSTEM.state.MaxSeverity,max severity,MaxSeverity,UInt16,state,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/A00 - general/state/state,ns=6;s=::AsGlobalPV:HMI_ALLGEMEIN.state.state,state,state,UInt32,state,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_1_Abstand,distance,Bereich_1_Abstand,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_1_Fenster,window,Bereich_1_Fenster,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/extruder - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_2_Abstand,extruder - distance,Bereich_2_Abstand,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/extruder - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_2_Fenster,extruder - window,Bereich_2_Fenster,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/rotary die cutter - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_3_Abstand,rotary die cutter - distance,Bereich_3_Abstand,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/rotary die cutter - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Bereich_3_Fenster,rotary die cutter - window,Bereich_3_Fenster,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/standstill time,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstandszeit,standstill time,Stillstandszeit,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstand_1_Abstand,distance,Stillstand_1_Abstand,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Stillstand_1_Fenster,window,Stillstand_1_Fenster,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/sensor - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Sensor_Abstand,sensor - distance,Kleb_Sensor_Abstand,Float,para,,2026-06-11T09:59:41
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/sensor - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Sensor_Fenster,sensor - window,Kleb_Sensor_Fenster,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/hose - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metallerkennung_Abstand,hose - distance,Metallerkennung_Abstand,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/hose - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metallerkennung_Fenster,hose - window,Metallerkennung_Fenster,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/hand button - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Handtaster_Abstand,hand button - distance,Kleb_Handtaster_Abstand,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/hand button - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Kleb_Handtaster_Fenster,hand button - window,Kleb_Handtaster_Fenster,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/flat web - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metalldetektor_Flachbahn_Abstand,flat web - distance,Metalldetektor_Flachbahn_Abstand,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/flat web - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Metalldetektor_Flachbahn_Fenster,flat web - window,Metalldetektor_Flachbahn_Fenster,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/laser - distance,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Laser_Abstand,laser - distance,Laser_Abstand,Float,para,,2026-06-11T09:59:42
Pinch 21,opc.tcp://192.168.11.50:4840,Global PV/SFB scrap/para/laser - window,ns=6;s=::AsGlobalPV:HMI_AUSSCHUSS.para.Laser_Fenster,laser - window,Laser_Fenster,Float,para,,2026-06-11T09:59:42
